id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,1,"[5.479477405548096, 6.202266216278076, -4.856818199157715, -7.240085601806641, -4.796154499053955, 0.7053884863853455, -3.915923833847046]",tensor(0.6713)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,0,"[3.84898042678833, -10.363321304321289, -9.932356834411621, -5.717254638671875, 2.4733633995056152, 2.4277286529541016, -4.669488906860352]",tensor(0.6692)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-0.23940472304821014, -7.228852272033691, -9.29738998413086, -6.688438415527344, 7.1258087158203125, 3.6003570556640625, -10.084921836853027]",tensor(0.9708)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-1.0879939794540405, -7.543439865112305, -5.76431131362915, -2.8278603553771973, -1.8993457555770874, 9.337788581848145, -7.070956707000732]",tensor(1.0000)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-4.510549068450928, 0.25371187925338745, -1.9627692699432373, -3.787504196166992, 2.191784381866455, -3.237617015838623, 0.5297866463661194]",tensor(0.7366)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-3.3977396488189697, -6.921366214752197, -2.9998726844787598, -3.9602417945861816, 0.31383877992630005, 5.871677398681641, -2.6343047618865967]",tensor(0.9957)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-1.0561188459396362, -5.933720111846924, -4.2436747550964355, -9.011639595031738, 6.166856288909912, 4.60671854019165, -3.6387720108032227]",tensor(0.8258)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-3.14052414894104, -6.766274452209473, 7.696800231933594, -6.976646423339844, -1.1336677074432373, -4.715075492858887, 2.6298186779022217]",tensor(0.9936)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[2.628253936767578, 7.6846113204956055, -6.669825077056885, -1.3431181907653809, -1.8619403839111328, -2.2310445308685303, -7.923426628112793]",tensor(0.9934)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[6.872272491455078, 1.9792389869689941, -3.711533784866333, -1.5846524238586426, -4.8702392578125, -4.274007320404053, -1.4879913330078125]",tensor(0.9921)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[1.0523878335952759, -7.3101487159729, -6.292685508728027, 0.5096869468688965, 4.209736347198486, -0.277222216129303, -4.96580171585083]",tensor(0.9271)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,5,"[-1.9669225215911865, -4.24520206451416, -4.949952125549316, -0.3196267783641815, 1.7237905263900757, 3.9366250038146973, -6.918050765991211]",tensor(0.8875)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[8.545430183410645, -4.884634494781494, 2.4233896732330322, -0.41984501481056213, -6.799328327178955, -5.470702648162842, -3.6112544536590576]",tensor(0.9977)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-3.5255095958709717, -5.968261241912842, -5.699284553527832, 6.400692462921143, -3.1753153800964355, -2.9735403060913086, -1.405066967010498]",tensor(0.9994)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-1.0296976566314697, -11.178147315979004, -7.065003395080566, -1.1619596481323242, 7.342383861541748, -2.494393825531006, -4.164191722869873]",tensor(0.9995)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,5,"[1.42475163936615, -4.560171604156494, -5.1157450675964355, -6.101803302764893, 3.7532360553741455, 4.458292484283447, -3.6795098781585693]",tensor(0.6482)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-3.0604212284088135, -3.600402355194092, 0.5021172165870667, -1.4356646537780762, 2.3328723907470703, -3.3074960708618164, -1.4388883113861084]",tensor(0.8216)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-1.843677282333374, -4.621412754058838, 0.8540956377983093, -0.7473331689834595, -5.806649684906006, 5.437236309051514, -6.9666900634765625]",tensor(0.9871)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,5,"[-1.8334993124008179, -5.391140937805176, -5.523860931396484, -1.7517452239990234, 2.4644393920898438, 4.062362194061279, -5.7525553703308105]",tensor(0.8276)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-6.004807472229004, -7.556666851043701, 4.564043998718262, -5.570853233337402, -1.2176259756088257, 1.9861167669296265, 1.3553581237792969]",tensor(0.8933)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,4,"[-4.401213645935059, -11.228840827941895, 0.4170887768268585, -11.586588859558105, 5.410708904266357, 2.9913229942321777, -2.817258596420288]",tensor(0.9123)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-6.205050945281982, -3.6470518112182617, -1.9377845525741577, 4.1416497230529785, -5.936574459075928, 1.0237607955932617, -0.3778831958770752]",tensor(0.9452)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,4,"[-6.470311641693115, -6.413111209869385, -8.669710159301758, 4.257415294647217, 5.935409069061279, -0.4030245542526245, -4.901187896728516]",tensor(0.8414)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,5,"[-5.238102436065674, -5.6595683097839355, -3.1115622520446777, 1.4074628353118896, -3.175529956817627, 8.426230430603027, -6.144911766052246]",tensor(0.9991)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,5,"[-2.7283647060394287, -2.319953680038452, -1.4491956233978271, 2.3925070762634277, -4.195826530456543, 3.2471213340759277, -5.499609470367432]",tensor(0.6936)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[0.28399643301963806, -0.41827085614204407, -7.705964088439941, -1.208648443222046, 2.889429807662964, -1.9645622968673706, -3.497084379196167]",tensor(0.8798)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[3.3000738620758057, -6.811983108520508, -6.674840450286865, -6.604409217834473, 4.9351487159729, -0.6272328495979309, -3.2282254695892334]",tensor(0.8340)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[-1.7369316816329956, -6.094855308532715, -3.526793956756592, -1.1388189792633057, 4.637524127960205, -2.728318929672241, -0.543175995349884]",tensor(0.9888)
happy_696cd15844d851ff470324433d58a4b0,20-29,Male,White,happy,3,4,"[-0.8064723014831543, -2.6979663372039795, -7.115102767944336, 2.033900499343872, 3.7460572719573975, -4.671044826507568, -4.070010185241699]",tensor(0.8380)
disgust_c29db77f146467675b9a547a32f78fe2,30-39,Male,Middle Eastern,disgust,1,0,"[2.472402811050415, 0.398334264755249, -3.6575658321380615, -5.732938289642334, -0.17928025126457214, -2.0698447227478027, -2.95436692237854]",tensor(0.8239)
neutral_0476ad07c5310846beeff6457b2bf43a,30-39,Male,White,neutral,4,4,"[-5.0846710205078125, -12.260868072509766, -14.216324806213379, 1.404576301574707, 13.45702838897705, -3.2701728343963623, -10.373897552490234]",tensor(1.0000)
neutral_3d9f9c418a11c8a91b213f5496d97533,00-02,Female,East Asian,neutral,4,4,"[-6.866551399230957, -3.972069263458252, -1.4534766674041748, -4.9742431640625, 5.062253952026367, -2.8692893981933594, 0.5812081098556519]",tensor(0.9868)
sad_652893c8033269a4b24b6b364cdabb83,03-09,Female,White,sad,5,5,"[-1.032819151878357, -3.0244736671447754, 2.2568790912628174, -5.927401065826416, -3.9771134853363037, 7.921630382537842, -9.160452842712402]",tensor(0.9964)
angry_9b1fd1d4116b851364760884d7054205,20-29,Male,White,angry,0,0,"[4.71196985244751, -0.2552156448364258, 1.087587833404541, -2.7765634059906006, -3.377448081970215, -3.717061996459961, -2.077755928039551]",tensor(0.9654)
neutral_d15d502b9f88281164f98e049d82925d,40-49,Male,White,neutral,4,0,"[2.8800771236419678, -3.6194984912872314, -5.913618564605713, -4.637118816375732, 2.4231483936309814, 2.676359176635742, -4.682457447052002]",tensor(0.4079)
fear_520946fe2484192e409466f3000b1336,40-49,Male,Latino_Hispanic,fear,2,4,"[2.427798271179199, -4.998325347900391, 1.401584506034851, -8.785785675048828, 4.270547866821289, -1.49432373046875, -4.999003887176514]",tensor(0.8207)
happy_41e82c1791f48cca03c7421aeb8dcf40,10-19,Female,Black,happy,3,3,"[-6.597383975982666, -4.180977821350098, -5.675659656524658, 9.509642601013184, -3.4814212322235107, -6.388100624084473, -0.6348738074302673]",tensor(1.0000)
sad_c3f84c5cd353aa656e452524fe2573d8,60-69,Female,Latino_Hispanic,sad,5,5,"[-2.0885703563690186, -2.1073365211486816, -5.481424808502197, -5.6756062507629395, -0.6167842149734497, 3.9463894367218018, 0.16300462186336517]",tensor(0.9633)
sad_99ce705dcad1eae1529aab03c6b59358,40-49,Male,White,sad,5,2,"[-2.94726300239563, -4.5385260581970215, 1.2002477645874023, -3.960477352142334, 1.1776587963104248, 0.6062240600585938, 1.1493643522262573]",tensor(0.2853)
neutral_61d116bcb660d2fcbf5584ae4e7ccd9d,10-19,Female,White,neutral,4,4,"[-2.6733782291412354, -9.977779388427734, -6.2049970626831055, 1.1096271276474, 4.498635768890381, 2.5916008949279785, -6.6199541091918945]",tensor(0.8453)
surprise_21bad02af387b852fe64a020be410de9,40-49,Female,Latino_Hispanic,surprise,6,3,"[-3.5326621532440186, -1.342454433441162, -3.7812917232513428, 3.1036696434020996, 1.9141346216201782, -3.7079129219055176, -2.028348684310913]",tensor(0.7545)
angry_84d57890bca8fd9408779cef0c7741a1,40-49,Male,White,angry,0,0,"[6.931027412414551, -4.1867995262146, -4.733532905578613, -6.531988143920898, 1.6845208406448364, 0.7289820313453674, -6.124931812286377]",tensor(0.9927)
neutral_283940eda3c5f01d5f4967ec9323fcb1,20-29,Male,White,neutral,4,4,"[2.053809881210327, -2.987259864807129, -7.429587364196777, -2.920243740081787, 4.9955735206604, 0.5725671648979187, -7.515017032623291]",tensor(0.9385)
angry_1922d58aa5992eec184510d06555922f,30-39,Male,White,angry,0,5,"[0.4352351725101471, -0.07633484154939651, -6.5140509605407715, -2.739314317703247, 1.2212156057357788, 2.2327449321746826, -6.0154314041137695]",tensor(0.6112)
neutral_a70fefe1e93bc5f210779d2f5ba68ffe,30-39,Male,White,neutral,4,4,"[3.0612003803253174, -0.3643966317176819, -8.667168617248535, -3.382708787918091, 4.532651424407959, 1.5860384702682495, -10.132662773132324]",tensor(0.7752)
fear_37d661a673fc4ef4576bef21346648b1,30-39,Male,East Asian,fear,2,6,"[-4.318802356719971, -7.971024036407471, 4.590682506561279, -5.186287879943848, -2.801527976989746, -2.907846450805664, 5.4941864013671875]",tensor(0.7114)
surprise_ca92dcd52a632220d10067ff666110dc,50-59,Male,White,surprise,6,6,"[-2.4548635482788086, -2.1823344230651855, 0.015358278527855873, -5.7162981033325195, -1.0685760974884033, -0.3407498896121979, 0.9685365557670593]",tensor(0.5369)
