id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[8.492431640625, 7.046316623687744, -3.8764312267303467, -8.833968162536621, -4.12937593460083, 2.6052818298339844, -6.81948184967041]",tensor(0.8076)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,5,"[0.9699933528900146, -1.4350908994674683, -2.8676793575286865, -3.1273038387298584, 2.447195291519165, 2.66576886177063, -2.4032557010650635]",tensor(0.4958)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-0.25120848417282104, 0.36637556552886963, -2.872971773147583, -3.8188271522521973, 3.1581997871398926, 0.5672302842140198, -1.421270728111267]",tensor(0.8454)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-2.9902381896972656, -1.7740639448165894, -1.9673771858215332, -1.5636241436004639, -0.7709411978721619, 9.964247703552246, -6.484616279602051]",tensor(1.0000)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-3.6424977779388428, -4.742697238922119, -3.576498031616211, 2.0760085582733154, 6.027080535888672, -1.3914427757263184, 0.3414534628391266]",tensor(0.9772)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-4.406693935394287, -2.4963736534118652, -1.2037194967269897, -1.8821744918823242, 0.3090658187866211, 5.189730167388916, -1.699197769165039]",tensor(0.9885)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[2.8891875743865967, -4.837965488433838, -3.290904998779297, -6.382289409637451, 6.56315279006958, 1.0792497396469116, -2.3708643913269043]",tensor(0.9711)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-0.5489562749862671, -5.037302494049072, 2.0740725994110107, -1.9745742082595825, -0.7322981953620911, -2.819462537765503, 4.5545148849487305]",tensor(0.9116)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[1.0137616395950317, 4.726321697235107, -1.8542463779449463, -2.700030565261841, -0.6617703437805176, 0.9000974893569946, -3.532684803009033]",tensor(0.9497)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[11.962884902954102, 2.6415765285491943, -3.40881085395813, -4.837063312530518, -6.212795257568359, -3.842780828475952, -2.3424720764160156]",tensor(0.9999)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-3.9251341819763184, -4.165278434753418, -4.495819091796875, 4.159897327423096, 5.790772438049316, -0.5708832740783691, -3.276486873626709]",tensor(0.8349)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,5,"[-0.5145620107650757, -1.7345446348190308, -3.248032808303833, -2.868548631668091, 2.16222882270813, 5.311220169067383, -3.1126692295074463]",tensor(0.9547)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[7.927895545959473, 1.0618259906768799, -0.488379567861557, -1.0366086959838867, -6.042652606964111, -1.8328547477722168, -4.608918190002441]",tensor(0.9985)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-3.159978151321411, -2.889963388442993, -2.6964075565338135, 2.9873745441436768, 1.1664353609085083, 1.9890787601470947, -3.2363228797912598]",tensor(0.6491)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-4.056004524230957, -5.592456340789795, -2.8690907955169678, 0.07545623183250427, 6.014659404754639, -3.106712818145752, 2.758699417114258]",tensor(0.9602)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,4,"[-1.0378084182739258, -4.311056613922119, -1.5765132904052734, -4.463969707489014, 4.080947399139404, 1.399561882019043, 1.2518857717514038]",tensor(0.8792)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-2.035620927810669, -2.4172492027282715, -4.466317176818848, 2.093646287918091, 5.067169666290283, -1.0959804058074951, -1.8510514497756958]",tensor(0.9473)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-1.4400537014007568, -2.2363991737365723, -1.7860405445098877, 0.7606740593910217, -2.429091215133667, 6.476223468780518, -4.466568946838379]",tensor(0.9958)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,5,"[-1.9537665843963623, -2.518341064453125, -3.5697133541107178, 2.4753310680389404, 1.8474687337875366, 4.856607913970947, -6.207880973815918]",tensor(0.8743)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[2.3968288898468018, -1.0728864669799805, 2.5393226146698, -1.4071638584136963, -5.97380256652832, 2.319432497024536, -1.7947969436645508]",tensor(0.3664)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,0,"[3.9757707118988037, -2.665675640106201, -0.7189761400222778, -8.120513916015625, 3.1936819553375244, 0.41380515694618225, -1.4615254402160645]",tensor(0.6664)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-4.226503372192383, -2.5334675312042236, -2.507645845413208, 7.858211994171143, -2.384988307952881, -2.9738614559173584, 0.29731419682502747]",tensor(0.9994)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,4,"[-2.2816641330718994, -4.679655075073242, -4.127005577087402, 1.0194915533065796, 6.653707027435303, -1.3949147462844849, -0.8844633102416992]",tensor(0.9954)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,5,"[-2.3964955806732178, -1.4760037660598755, -0.8603135347366333, 1.758995771408081, -1.5912736654281616, 3.4018471240997314, -3.3877756595611572]",tensor(0.8156)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,5,"[-2.8014416694641113, -0.38908836245536804, -0.82770836353302, 0.8438889980316162, -2.9977548122406006, 5.929869174957275, -4.753198623657227]",tensor(0.9906)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-1.2820749282836914, -1.5087318420410156, -4.556304931640625, -0.5903570055961609, 3.653958797454834, -2.77021861076355, 1.0549962520599365]",tensor(0.9062)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[1.6311219930648804, -2.5420727729797363, -5.505651473999023, -0.32854098081588745, 5.8886847496032715, -0.08459769934415817, -4.763235092163086]",tensor(0.9814)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[-1.0400434732437134, -4.124789714813232, -2.9975686073303223, 0.654841959476471, 5.895422458648682, -1.8390651941299438, -0.656461238861084]",tensor(0.9918)
happy_696cd15844d851ff470324433d58a4b0,20-29,Male,White,happy,3,3,"[-2.655118227005005, -4.020596027374268, -4.072737693786621, 6.734144687652588, 2.5209152698516846, -3.4692764282226562, -1.6457300186157227]",tensor(0.9850)
disgust_c29db77f146467675b9a547a32f78fe2,30-39,Male,Middle Eastern,disgust,1,2,"[2.0108959674835205, 0.4032973647117615, 3.9222633838653564, -4.821888446807861, -3.424049139022827, -5.881954669952393, 2.860879421234131]",tensor(0.6560)
neutral_0476ad07c5310846beeff6457b2bf43a,30-39,Male,White,neutral,4,4,"[-2.053201913833618, -4.864460468292236, -4.191003322601318, 1.0373420715332031, 7.781679153442383, -2.638895273208618, -0.9433135986328125]",tensor(0.9986)
neutral_3d9f9c418a11c8a91b213f5496d97533,00-02,Female,East Asian,neutral,4,6,"[-5.152151107788086, -6.470469951629639, -0.9309024810791016, -3.851933479309082, 3.1908774375915527, -2.8988988399505615, 8.453296661376953]",tensor(0.9947)
sad_652893c8033269a4b24b6b364cdabb83,03-09,Female,White,sad,5,5,"[-2.7360761165618896, -0.503020167350769, 0.1405399888753891, -1.4318569898605347, -3.3760831356048584, 10.03100299835205, -5.861306190490723]",tensor(0.9999)
angry_9b1fd1d4116b851364760884d7054205,20-29,Male,White,angry,0,2,"[-0.32892632484436035, -1.0928014516830444, 2.2041609287261963, -0.9231206774711609, -3.492094039916992, -1.410987138748169, 1.6494472026824951]",tensor(0.5667)
neutral_d15d502b9f88281164f98e049d82925d,40-49,Male,White,neutral,4,5,"[-0.5199024677276611, -4.763561725616455, -1.652653694152832, -4.517952919006348, 4.5238423347473145, 4.826869010925293, -2.5812127590179443]",tensor(0.5729)
fear_520946fe2484192e409466f3000b1336,40-49,Male,Latino_Hispanic,fear,2,4,"[-0.7389435768127441, -3.846782684326172, -2.8504679203033447, -3.4628498554229736, 6.024116039276123, 0.3519282042980194, -1.424006700515747]",tensor(0.9946)
happy_41e82c1791f48cca03c7421aeb8dcf40,10-19,Female,Black,happy,3,3,"[-3.40938138961792, -2.238924980163574, -2.8027281761169434, 8.063852310180664, -1.010664463043213, -1.989418864250183, -2.1720352172851562]",tensor(0.9997)
sad_c3f84c5cd353aa656e452524fe2573d8,60-69,Female,Latino_Hispanic,sad,5,1,"[-0.10732148587703705, 3.2079262733459473, -2.5049710273742676, -4.231403350830078, 1.0276013612747192, 2.5462725162506104, -2.7187371253967285]",tensor(0.5981)
sad_99ce705dcad1eae1529aab03c6b59358,40-49,Male,White,sad,5,6,"[-3.2506303787231445, -5.787004470825195, 1.792748212814331, -3.7781176567077637, -0.4304314851760864, 1.4797804355621338, 4.3981757164001465]",tensor(0.8798)
neutral_61d116bcb660d2fcbf5584ae4e7ccd9d,10-19,Female,White,neutral,4,4,"[-3.0160303115844727, -4.365590572357178, -4.393596649169922, 2.25337553024292, 4.9818339347839355, 1.1352566480636597, -2.573366641998291]",tensor(0.9194)
surprise_21bad02af387b852fe64a020be410de9,40-49,Female,Latino_Hispanic,surprise,6,3,"[-2.459153652191162, -2.2789978981018066, -1.730324387550354, 4.613461017608643, -1.7950507402420044, -4.846467971801758, 2.8180317878723145]",tensor(0.8537)
angry_84d57890bca8fd9408779cef0c7741a1,40-49,Male,White,angry,0,0,"[2.5880448818206787, -0.5952022671699524, -2.4193785190582275, -0.9133206009864807, 2.0779669284820557, -0.6282704472541809, -3.414391040802002]",tensor(0.5809)
neutral_283940eda3c5f01d5f4967ec9323fcb1,20-29,Male,White,neutral,4,4,"[-3.324526309967041, -3.750298500061035, -4.907131195068359, 0.33291465044021606, 7.377810955047607, -1.133716344833374, -1.0563219785690308]",tensor(0.9987)
angry_1922d58aa5992eec184510d06555922f,30-39,Male,White,angry,0,4,"[-1.8172385692596436, -3.6322638988494873, -3.5129711627960205, -3.50644850730896, 3.2812883853912354, -0.8584507703781128, 2.020172119140625]",tensor(0.7642)
neutral_a70fefe1e93bc5f210779d2f5ba68ffe,30-39,Male,White,neutral,4,4,"[1.4937348365783691, -0.7669690847396851, -2.720374822616577, -3.387389898300171, 3.564518690109253, 0.12904442846775055, -3.1878418922424316]",tensor(0.8507)
fear_37d661a673fc4ef4576bef21346648b1,30-39,Male,East Asian,fear,2,4,"[-5.074511528015137, -5.42529821395874, 0.07089854776859283, -3.8274471759796143, 5.049370765686035, -1.835373878479004, 3.819066047668457]",tensor(0.7690)
surprise_ca92dcd52a632220d10067ff666110dc,50-59,Male,White,surprise,6,6,"[-1.7141237258911133, -2.126997470855713, 1.5110946893692017, -3.951655626296997, -3.62437105178833, -2.1855294704437256, 5.505673408508301]",tensor(0.9801)
fear_f3d15a6ced65385f05fd84637005fa41,20-29,Male,Black,fear,2,6,"[-3.070388078689575, -5.4989728927612305, 2.9049298763275146, -3.0762746334075928, 0.2811371386051178, 0.17629991471767426, 3.93691086769104]",tensor(0.7106)
neutral_4ee05381ef769590559d1db313a85bb1,30-39,Male,White,neutral,4,4,"[-3.111172914505005, -6.7734174728393555, -6.024008750915527, 0.7165786623954773, 10.613137245178223, 0.3582308888435364, -4.1617889404296875]",tensor(0.9999)
angry_4adc0ec97bd04d70b1332fb9cc751ddb,40-49,Female,White,angry,0,4,"[2.819903612136841, -1.9517505168914795, -3.8783488273620605, -3.5055387020111084, 4.978092193603516, -0.40917325019836426, -2.842700481414795]",tensor(0.8914)
sad_9f93ee921a061ac82c751e82d2859cc0,30-39,Female,White,sad,5,5,"[-0.8138937950134277, -0.7174839973449707, -3.5045230388641357, -0.5200091600418091, -0.4582282304763794, 7.723451137542725, -6.481489181518555]",tensor(0.9990)
angry_c844d7ec472fe7f5b3662d2f417d134c,00-02,Male,White,angry,0,0,"[7.395122528076172, 0.06600596010684967, -2.6249310970306396, -2.641831159591675, -2.3154473304748535, 1.9070290327072144, -6.1927103996276855]",tensor(0.9951)
fear_6fecc023ff51384a6f52077c584e484d,40-49,Male,White,fear,2,5,"[-2.180309534072876, -0.9572010040283203, -0.8230079412460327, -3.4663569927215576, 0.7283449769020081, 5.604927062988281, -2.3948779106140137]",tensor(0.9886)
sad_21b703dfd83a9e22c544873fb9f0e556,10-19,Female,East Asian,sad,5,5,"[-3.001314401626587, -0.6708513498306274, -0.8694338202476501, -2.370340585708618, -1.804561734199524, 8.94636344909668, -4.791576862335205]",tensor(0.9998)
surprise_a365ac8f68409d39175f65b644d804ee,10-19,Male,Latino_Hispanic,surprise,6,3,"[-3.2341959476470947, -3.2039356231689453, -4.288852691650391, 6.621623516082764, 2.1425464153289795, -4.111669063568115, -0.16923487186431885]",tensor(0.9875)
