id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,1,"[-1.1933430433273315, 8.148038864135742, -2.5302557945251465, -4.307082653045654, -8.576346397399902, 0.20378263294696808, -5.849196910858154]",tensor(0.9995)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,5,"[1.876652717590332, -8.017637252807617, -7.055662631988525, -4.9886016845703125, 2.8417603969573975, 3.7237958908081055, -10.607179641723633]",tensor(0.6362)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[-6.041090965270996, -9.154296875, -3.085007429122925, -2.097252130508423, 2.3884458541870117, -0.3697650134563446, -0.7657833695411682]",tensor(0.8914)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-4.167611122131348, -9.101924896240234, -8.661165237426758, -5.1930742263793945, 0.39322617650032043, 8.086737632751465, -4.6012444496154785]",tensor(0.9995)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,4,"[-18.343408584594727, -2.7768123149871826, -3.1132774353027344, -5.336097717285156, 1.8824905157089233, -1.4241218566894531, 1.507637619972229]",tensor(0.5744)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,4,"[-0.00581643171608448, -6.633700847625732, -7.37325382232666, -6.148390293121338, 2.7467353343963623, 2.489003896713257, -6.04337739944458]",tensor(0.5444)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-13.267446517944336, -8.953758239746094, -10.56989574432373, -2.937363862991333, 10.374292373657227, 1.7664438486099243, -7.632333755493164]",tensor(0.9998)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,6,"[-4.632791042327881, -8.374639511108398, 3.4027962684631348, -4.107203483581543, -1.7406429052352905, -4.736454486846924, 5.103023052215576]",tensor(0.8447)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,1,"[-3.8733937740325928, 6.793128967285156, -6.458604335784912, -2.3463363647460938, -0.6361461281776428, 0.016567058861255646, -8.998610496520996]",tensor(0.9981)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[5.817612171173096, -1.8216077089309692, -3.813138961791992, -1.2931671142578125, -6.371346473693848, -4.057069301605225, 0.44310280680656433]",tensor(0.9940)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,4,"[-10.138529777526855, -9.563965797424316, -3.6646358966827393, 1.85920250415802, 5.531209945678711, -1.372510552406311, -5.036149024963379]",tensor(0.9741)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,5,"[0.45633751153945923, -4.5818305015563965, -3.4966719150543213, -8.687276840209961, 2.0913584232330322, 5.100042343139648, -7.326274871826172]",tensor(0.9441)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[5.7349653244018555, -4.288853168487549, -1.0029569864273071, 1.687211513519287, -7.184913635253906, -3.6831889152526855, -3.6392621994018555]",tensor(0.9815)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,3,"[-6.767786502838135, -7.676224708557129, -2.0040760040283203, 3.6328635215759277, -1.096721887588501, -2.355633497238159, -3.36214017868042]",tensor(0.9844)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-3.1928532123565674, -10.665192604064941, -2.665652275085449, -3.7364420890808105, 5.796878814697266, -7.338740348815918, -2.2569446563720703]",tensor(0.9993)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,0,"[3.6637609004974365, -2.4743564128875732, -4.482097148895264, -9.492375373840332, 2.4797213077545166, 2.1509716510772705, -5.8824052810668945]",tensor(0.6541)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,3,"[-5.123478412628174, -3.7464845180511475, -3.402132511138916, 3.551880121231079, 1.5995675325393677, -6.983503818511963, -3.149444103240967]",tensor(0.8734)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-6.202606201171875, -4.486079692840576, 0.31395775079727173, -6.287755966186523, -5.803758144378662, 10.210893630981445, -6.3880791664123535]",tensor(0.9999)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,5,"[-7.649726867675781, -6.675525665283203, -5.2797369956970215, 0.7913049459457397, 0.7651129961013794, 3.6289021968841553, -3.9580531120300293]",tensor(0.8958)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-2.9479424953460693, -8.905279159545898, 7.304011821746826, -13.65566635131836, -3.8707845211029053, 2.521082878112793, -1.6289238929748535]",tensor(0.9915)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,4,"[-11.45407772064209, -9.8605318069458, -3.4482367038726807, -6.238452434539795, 7.812345504760742, 1.2362242937088013, -2.7406015396118164]",tensor(0.9986)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-3.915118455886841, -5.1353302001953125, -0.19136573374271393, 4.058818340301514, -4.22794246673584, -3.5310726165771484, 0.11097292602062225]",tensor(0.9664)
