id,age,gender,race,label,y_true,y_pred,logits,conf
angry_08e3f0a3bdb61ad94d5489195ff65b4a,40-49,Male,White,angry,0,0,"[8.448957443237305, 2.561312198638916, 2.3575308322906494, -5.264021396636963, -4.333743572235107, -2.8330237865448, -4.255661964416504]",tensor(0.9950)
neutral_66e0caef40889012857562f63b60144d,00-02,Female,White,neutral,4,4,"[-3.0705199241638184, -3.484691858291626, -4.739351272583008, -1.5274509191513062, 5.333508014678955, 0.8732953071594238, 1.6177862882614136]",tensor(0.9640)
neutral_caaabab610effc9afd66f8646bee63a8,50-59,Male,White,neutral,4,4,"[0.44615083932876587, -3.34041428565979, -3.523900270462036, -0.12933240830898285, 6.070599555969238, -0.5570404529571533, -4.477778911590576]",tensor(0.9929)
sad_3ef4246c003733a4c541cecd34645d10,03-09,Female,White,sad,5,5,"[-4.920543193817139, -3.9983699321746826, -3.924314022064209, -0.7809850573539734, 0.8525339365005493, 12.858200073242188, -6.517231464385986]",tensor(1.0000)
surprise_f781b3d2bf28cee826a2f69846cdad14,30-39,Male,Latino_Hispanic,surprise,6,6,"[-0.9244227409362793, -0.7674891948699951, -0.017782488837838173, -1.3305637836456299, 0.1622389256954193, -2.98675274848938, 2.0948944091796875]",tensor(0.7090)
sad_efc64a29e7c7a0cbbb0405ea41ad14de,20-29,Female,White,sad,5,5,"[-1.0675064325332642, -1.583103895187378, -1.7840921878814697, -1.5487980842590332, 1.4144954681396484, 2.473524808883667, -1.6541372537612915]",tensor(0.6938)
neutral_38f86f8a2893190a1f145865406f8f37,20-29,Male,Black,neutral,4,4,"[-1.0373845100402832, -1.797560691833496, -2.59479022026062, -4.30545711517334, 5.966240882873535, 2.182739496231079, -1.736822247505188]",tensor(0.9758)
fear_93f8b18fd1b7f176390ded6f218471b7,30-39,Male,White,fear,2,2,"[-5.4516072273254395, -4.381959438323975, 8.29842472076416, -6.025693893432617, -3.7781996726989746, 0.06283698230981827, 4.314456462860107]",tensor(0.9815)
disgust_5cb1df32c8b8689a28a69149c45fd888,30-39,Male,White,disgust,1,0,"[1.8896546363830566, -1.6417009830474854, -2.8464534282684326, 1.773445963859558, 1.6557401418685913, -0.49406927824020386, -4.056127071380615]",tensor(0.3553)
disgust_28a936d658ae8ff9dac679faf3c8f903,00-02,Female,White,disgust,1,0,"[5.228262424468994, 0.5556906461715698, 0.032417453825473785, -3.2162911891937256, -1.7840036153793335, -4.549012660980225, 0.9247687458992004]",tensor(0.9713)
sad_4c587936ac4987a55491bb01ee3d1da2,20-29,Male,White,sad,5,3,"[-2.592419385910034, -4.600192070007324, -4.1556010246276855, 5.323321342468262, 5.078126907348633, -1.6434268951416016, -3.059309482574463]",tensor(0.5605)
sad_4a47f5e74a384fc2bf93c640109828ad,40-49,Female,White,sad,5,4,"[-3.2051877975463867, -4.613494396209717, -5.209475517272949, 2.7009284496307373, 5.572125434875488, 2.7852675914764404, -5.287998676300049]",tensor(0.8941)
angry_8600572a953707a7533674d7fc8b1888,20-29,Male,White,angry,0,0,"[6.236190319061279, 3.346893548965454, -0.3960161805152893, -1.61029851436615, -5.354650497436523, -0.9497110843658447, -5.633263111114502]",tensor(0.9451)
sad_1327bcfe0277f78b29a2df45c7e0831d,03-09,Female,Latino_Hispanic,sad,5,4,"[-1.0237540006637573, -1.5888628959655762, -4.069654941558838, 0.9201658368110657, 4.218155860900879, -2.132336378097534, -1.2829753160476685]",tensor(0.9512)
surprise_0fed3ae87d5386f9f92dc06da6b17a05,00-02,Female,White,surprise,6,4,"[-2.695207118988037, -4.1954216957092285, -2.9485714435577393, 1.9817334413528442, 2.9873433113098145, -1.6317832469940186, 0.5516703724861145]",tensor(0.6803)
sad_1e37650d755df59c5bdb98b39e799db0,20-29,Female,White,sad,5,5,"[-0.11917295306921005, -3.532224178314209, -3.1094396114349365, -3.7038586139678955, 3.2232816219329834, 5.058304786682129, -2.4681484699249268]",tensor(0.8573)
happy_0a0d340ac5758306630d1929c2061b86,20-29,Male,Black,happy,3,4,"[-1.8519891500473022, -2.98734712600708, -4.319188594818115, -1.798889398574829, 7.828822135925293, 0.3215758800506592, -2.2096691131591797]",tensor(0.9993)
sad_37d7474ff3ebeb96dd73ba7ee54d80fe,30-39,Male,Black,sad,5,5,"[-5.161977291107178, -2.332656145095825, -1.288224220275879, 1.3524527549743652, -2.496641159057617, 9.841031074523926, -4.668456554412842]",tensor(0.9998)
sad_b086178f7543c61b8eb4b94234610ae6,20-29,Male,Indian,sad,5,3,"[-3.5746519565582275, -4.464915752410889, -4.998744010925293, 4.414276599884033, 3.5870320796966553, 2.2086825370788574, -3.694600820541382]",tensor(0.6459)
fear_7260bc8a6ec76062afaae21382971c2a,20-29,Female,Middle Eastern,fear,2,2,"[-1.3356308937072754, -0.9579259753227234, 3.571401834487915, -3.149754762649536, -3.8450112342834473, -2.1214098930358887, 2.8299150466918945]",tensor(0.6668)
fear_39557e046a2d525841885d5ec2371af7,40-49,Male,White,fear,2,4,"[-2.5467917919158936, -2.376681089401245, 0.30510905385017395, -4.903199195861816, 2.689075469970703, 0.5157359838485718, 2.1855533123016357]",tensor(0.5487)
happy_02a9db2ba06584040b93452eb83223a8,70+,Female,White,happy,3,3,"[-3.2247254848480225, -2.624279022216797, -2.263165235519409, 6.323773384094238, -2.978567123413086, -1.2122606039047241, 0.43979743123054504]",tensor(0.9962)
angry_12d16864047ae490e5a6856daa9cba20,20-29,Male,White,angry,0,3,"[-2.735504388809204, -3.365553855895996, -3.113163471221924, 5.628169059753418, 1.6198272705078125, -2.589279890060425, -1.309775471687317]",tensor(0.9805)
sad_dd3d9f690b55b0595e69952b82f47237,20-29,Female,White,sad,5,3,"[-2.393629312515259, -3.500342845916748, -2.8990049362182617, 5.351199150085449, -1.0705739259719849, 2.208120584487915, -4.167272090911865]",tensor(0.9563)
sad_d8828cde6855e18c8a87bed6af0d1510,20-29,Female,White,sad,5,5,"[-2.7829315662384033, -2.1960220336914062, -2.480587959289551, 2.1845664978027344, -1.3441299200057983, 6.280924320220947, -4.914550304412842]",tensor(0.9827)
sad_abcecb40c3d45bc9ed36256231b81a92,20-29,Male,White,sad,5,4,"[-0.19589440524578094, -2.7825980186462402, -3.4184367656707764, 0.8291947841644287, 3.3440463542938232, -1.719163417816162, -0.13362738490104675]",tensor(0.8692)
angry_565cf5ca201f3b3202bd8bf46e10d011,20-29,Male,White,angry,0,4,"[0.11663923412561417, -2.908517599105835, -4.879459857940674, -2.0629427433013916, 6.207642555236816, 1.4183568954467773, -3.663060426712036]",tensor(0.9891)
neutral_43d0852bcf5dc649d42bbc5a84cb08b3,20-29,Female,White,neutral,4,4,"[-1.5508791208267212, -5.69141149520874, -5.563551902770996, -0.30863869190216064, 9.902231216430664, 0.40223291516304016, -3.5994551181793213]",tensor(0.9999)
happy_696cd15844d851ff470324433d58a4b0,20-29,Male,White,happy,3,3,"[-3.412508249282837, -3.88653826713562, -4.18543815612793, 7.813141345977783, 1.2310515642166138, -3.0230352878570557, -2.3344249725341797]",tensor(0.9985)
disgust_c29db77f146467675b9a547a32f78fe2,30-39,Male,Middle Eastern,disgust,1,2,"[-0.3431662917137146, -0.3047703206539154, 4.309108734130859, -3.495495080947876, -2.8490302562713623, -0.9663008451461792, 0.024131596088409424]",tensor(0.9620)
neutral_0476ad07c5310846beeff6457b2bf43a,30-39,Male,White,neutral,4,4,"[-3.4115090370178223, -4.864407062530518, -6.7710466384887695, 4.698014259338379, 8.531848907470703, -2.724433660507202, -4.099798679351807]",tensor(0.9788)
neutral_3d9f9c418a11c8a91b213f5496d97533,00-02,Female,East Asian,neutral,4,4,"[-3.7978711128234863, -3.8841958045959473, -2.2789266109466553, -1.2160357236862183, 4.908999919891357, -0.4953003525733948, 1.7964016199111938]",tensor(0.9504)
sad_652893c8033269a4b24b6b364cdabb83,03-09,Female,White,sad,5,3,"[-4.336108684539795, -3.1125097274780273, -2.797368288040161, 5.574615478515625, -1.4721156358718872, 3.467303991317749, -3.157092571258545]",tensor(0.8904)
angry_9b1fd1d4116b851364760884d7054205,20-29,Male,White,angry,0,2,"[0.6457139253616333, -0.6842164397239685, 2.674776792526245, 0.24534070491790771, -4.0859785079956055, -4.376227855682373, 2.5157456398010254]",tensor(0.4741)
neutral_d15d502b9f88281164f98e049d82925d,40-49,Male,White,neutral,4,4,"[0.9882036447525024, -3.459278106689453, -3.7593064308166504, -1.9037607908248901, 5.669241428375244, 1.0887248516082764, -3.514549493789673]",tensor(0.9801)
fear_520946fe2484192e409466f3000b1336,40-49,Male,Latino_Hispanic,fear,2,0,"[3.5170257091522217, 1.2841746807098389, -1.3049075603485107, -4.257956504821777, 1.2628592252731323, -0.5270066857337952, -2.946843385696411]",tensor(0.8066)
happy_41e82c1791f48cca03c7421aeb8dcf40,10-19,Female,Black,happy,3,3,"[-2.6910526752471924, -2.8600070476531982, -2.003532886505127, 6.564172744750977, -1.7092838287353516, -2.514270544052124, -1.4413360357284546]",tensor(0.9989)
sad_c3f84c5cd353aa656e452524fe2573d8,60-69,Female,Latino_Hispanic,sad,5,4,"[-1.880680799484253, -4.2386345863342285, -4.081573486328125, -2.519880533218384, 4.8864336013793945, 3.115607500076294, -1.6352506875991821]",tensor(0.8520)
sad_99ce705dcad1eae1529aab03c6b59358,40-49,Male,White,sad,5,5,"[-2.6228158473968506, -1.0800069570541382, -0.4058491289615631, -2.442890167236328, -1.1044731140136719, 4.446905612945557, -0.8040034174919128]",tensor(0.9777)
neutral_61d116bcb660d2fcbf5584ae4e7ccd9d,10-19,Female,White,neutral,4,4,"[-3.6535089015960693, -5.400918483734131, -4.361669540405273, 1.9809774160385132, 7.31845235824585, 0.39998945593833923, -2.329803705215454]",tensor(0.9941)
